video_id,title,published_at,views,likes,comments
jjiEqPK9vS0,Under 60K Laptop? ft @metamonkeystv   | Deep-Dive Laptop Review -  இது தேருமா ? 🤔,2024-03-30T11:05:48Z,428872,23959,605
vMMBLOWYiXk,"Rs.5,00,000/- PC With @TempleMonkeys  | PC Doc Vs Vijay Varadharaj 🥊 | Fun PC Build 😂🤣",2024-03-29T11:11:38Z,665292,41652,859
gRwvWLXanyU,Neon Light💡on Fake Wall - A2D Studio Neon Setup | Installing Neon Light #repair #neon,2024-03-28T12:00:40Z,3740430,288839,483
DqmmJ0GmdOY,Secret Display Glass 🔥 - நீங்க மட்டும் பார்க்கலாம்😉 - PC Doc’s Experiments 😎,2024-03-26T11:59:57Z,536221,33393,913
RDcpQhbxC18,"Rest In Peace ""iPhone 15 Pro Max"" 💀| உள்ள என்ன இருக்கு? 🤯 - iPhone 15 Teardown 🔥",2024-03-24T06:00:20Z,891881,61655,1776
1K0vh__p8XA,"iPhone Repair Tools From ""வடக்கு நண்பர்"" 🔥 | Rs:60,000/- Mobile Self RepairTools🔧- Right To Repair ✊",2024-03-22T11:00:02Z,468303,32979,760
hguWpbnDLWs,"Sunder Pichai Fired? - Google CEO 😲 | Fall of Google? ↘ | What's the ""Real Reason"" ? 🤔",2024-03-20T11:12:02Z,798197,43099,1376
q2psi51Q57A,"Repairing ""வடக்கு நண்பர்"" Solder Machine 🔧 | WORK ஆகுமா ஆகாதா? 🤔 #a2d #repair",2024-03-19T12:00:55Z,2889222,199642,356
0gDp-hiAb7Q,தல வலி முடியல😩 | 24 Hours in Vision Pro 😵 - Worst Experiment 🥵 | கண்ணு போச்சா?,2024-03-17T13:00:15Z,747423,46067,1492
m3bcDTR-_eo,24 Hours in Apple Vision Pro - 24 Hour Vision Pro Challange #apple #visionpro #challange,2024-03-16T12:31:03Z,2432361,196714,340
aKJGpXa7Aa0,2-Lakh Laptop Vs 125K Desktop 🥊 - இதுல எது Best-Uh? 😲 | Are Gaming Laptops are SCAM?,2024-03-14T12:25:25Z,535124,45548,1970
V86pjl89l2Y,மனிதனின் அழிவு💀 - Artificial General Intelligence (AGI) 🤖 | AI = Human Extinction? 😱,2024-03-12T11:00:22Z,619512,45581,3104
xnsQTnir2tM,Driving Car With Apple Vision Pro - போலிசிடம் மாட்டாமல் தப்பியது எப்படி? | Ft. @Hobby_Explorer_Tamil,2024-03-10T06:00:24Z,610217,36807,990
iG1iK0PIUFw,Driving Car With Apple Vision Pro | Vision Pro Vs Meta Quest | Vision Pro Public Test,2024-03-09T13:00:35Z,582650,55908,191
it8kNJmdreA,"Rs.20,000/-  Cheapest PC 🤯| 20K Gaming PC Build 🔥 | Build Your Own PC - 2024",2024-03-08T11:00:41Z,805125,59420,2373
0PDZDhPCyHk,Sora Ai Vs Hollywood 🥊- படம் எடுக்கும் Ai 🎥🤯 | Will Ai Become Our Future? 🤔,2024-03-06T11:00:01Z,531739,37881,1141
uvSiLBSfums,FireBoltt Uruttu Watch Re-Assemble - Chinese Smart Watch #smartwatch #fireboltt #a2d #repair,2024-03-05T12:56:48Z,682189,58044,156
-zRuOzbJcfU,"Meeting ""வடக்கு நண்பர்"" Again 🤝 - Exploring ""Karol Bagh"" Delhi Market | Delhi Part 2",2024-03-03T06:00:01Z,792535,54512,1501
lXMr7KTpWoo,Apple Vision Pro Unboxing 🔥 Experiencing Vision Pro by Selling Kidney 😅 Ft.@Hobby_Explorer_Tamil,2024-03-01T11:12:45Z,767507,50714,1436
6Qo0j0_uTAs,Consumerism Vs Tech - Corporate-யை வெச்சு செய்த Influencer's 🔥 - What is Tech Community? 🤔,2024-02-28T11:00:19Z,647545,49077,1763
UgVvRkb3sW8,Editor'ku புது Headphone 🎧 | Professional Headphone For Video Editing #a2d #pcdoc,2024-02-26T13:00:31Z,2955021,215618,251
Pl0A5oxtSDI,"We Sold @madangowri Kidney💉👨‍⚕️ to வடக்கு நண்பர் | For ~10,00,000/- We Bought ""Apple Vision Pro"" 😎",2024-02-25T06:00:10Z,1130163,67944,2117
zzCaHSwDhKk,MarkMama Vs U.S.A 🥊 | CEO-களுக்கு ஆப்பு வைத்த AMERICA 💀 | Whom to blame? 🤔,2024-02-23T11:00:56Z,581202,45518,1465
SnhAfdldbrE,"~Rs.5,00,000/- Apple Vision Pro 🤯 | இந்த HYPE தேவையா?🤔 - PC Doc Analysis! 🔍",2024-02-21T11:30:05Z,687795,44289,1563
FyxmeNsGS_Y,MYV3ADS - Conclusion | ஆள விட்றா சாமி - THE END 😲,2024-02-18T06:00:05Z,1143023,77208,5248
lXwn2ZaWP_o,APPLE iMAC REPAIR 🔧🔥 | Upgrading 10 Year old iMAC 👴 | பழைய iMAC-யை Repair செய்வது எப்படி? 🤔,2024-02-16T11:00:07Z,478697,30203,1121
hs6YAvi_seg,DEEPFAKE செய்வது எப்படி?🤔 - Atlee Vs PC DOC🥊 | How DEEPFAKE Works?,2024-02-14T11:00:17Z,586869,38365,1325
O0LcOrv2WUQ,RJ Balaji Vs சீன Rat Killer | How Chinese Rat Repellent Works? #rat #ratkiller,2024-02-13T13:18:59Z,3315340,204391,329
NDbFFCo9JLU,"Rs.10,000/-  வடக்கு குட்டி பெட்டி PC 😳 | Gaming on 10K PC 😱 | Mini PC Worth-ஆ 🤔?",2024-02-09T11:15:04Z,643564,37351,1603
nIaDXUn8SYQ,Reels Uruttu -இதல்லாம் உண்மையா? 😅| TRIBE SUMMIT | iPhone - யில் 235MP Camera வா?,2024-02-07T11:00:45Z,1115125,77011,2207
AxnGwfetL4U,MyV3Ads SCAM? - A Deep-Dive Breakdown | Earn Money by Watching Advertisement?,2024-02-04T07:00:03Z,1385377,87248,6261
gj-FdeBnmHI,Zebronics Laptop வேலைக்கு ஆகாதா 🧐 - Chinese or Indian Laptop?🤔 | PC Doc's Review💻,2024-02-02T11:00:41Z,569617,34639,1851
Pw4ICwb_otw,TTF GPS SCAM? - The Conclusion | A DeepDive Analysis - ₹3500/-க்கு Worth-ah?,2024-01-31T11:00:32Z,2800226,195775,12971
2Dud8hcz0NQ,Monitor Water Damage 🌊 | Samsung Monitor Display Problem Repair 🛠 - Monitor Display Fix,2024-01-29T13:00:05Z,875733,71991,395
OwLCMqz5FHA,"ரூ.4,00,000/- Ultimate PC BUILD | GAMING & PRODUCTIVITY PC | RTX 4090 Graphics Card",2024-01-28T06:25:54Z,512352,35425,1910
B1qsrI-3fF8,iPhone Vs Android 🥊🔥ft @engineeringfacts  | Apple iPhone 15 Pro Max Vs iQOO 12 | Which is Best?🤔,2024-01-26T06:30:03Z,1314856,89651,5253
m8zHzA0GV7o,Phone From @TamilTechOfficial - iPhone Vs Android Gaming with @engineeringfacts #apple #android #ios,2024-01-24T12:31:08Z,2375766,196086,640
SfKPfqBpMS0,RJ Balaji Vs சீன Rat Killer - Chinese Rat Repellent SCAM! | Rat Killing Device🐭,2024-01-23T11:47:57Z,1503577,112097,2661
ab3SmuI9NKs,FireBoltt Dream Uruttu Watch Vs Paid Promotions - P0$TM0RTEM Report | A Made in India Chinese Watch,2024-01-21T06:00:01Z,852536,48808,2701
XF4qTNX3vuA,Uruttu Watch Vs Fireboltt Dream | FireBoltt Dream Postmortem Report #a2d #fireboltt #smartwatch,2024-01-20T13:29:36Z,4563599,313945,753
-ao1W5gn23s,தண்ணி CAN போட வந்தேன் BRO 🚰  - PC Doc | Purifier Vs தண்ணி Can - Which is Better?🤔,2024-01-19T11:06:48Z,679855,35300,1142
omG4ON0R1vY,Playstation 5 For Ganesha🔥 - PS5 உள்ள என்ன இருக்கு? 🤯,2024-01-17T12:49:25Z,706529,43150,1639
qArDam9VtSA,"Apple Charges Rs.8,700/- Just for ""Developer Mode""? | Android Vs Apple #iphone #apple",2024-01-16T14:06:46Z,3269628,226745,984
MFo4hbhYfOM,AC - யை  கடித்து குதறிய எலி | Blue Star AC Repair #repair #fix #ac #a2d #pcdoc,2024-01-15T09:30:04Z,1854942,175135,388
Wr2O1yfp-bE,"6K Cinema Camera Rig Setup | Rs.5,00,000/- Complete CINEMA Camera? 🤯 - படம் எடுக்க போறோம் ! 🎥",2024-01-14T06:00:14Z,630117,42452,1637
ofog2VeRe-4,Giveaway மோசடி சிக்கலில் A2D - GiveAway SCAM? | 1Lakh PC? PC-Doc Arrested?,2024-01-12T12:44:21Z,688936,52444,1670
ioFr5gLZyDw,End of Copyright - Conclusion 🔥 | No More Copyright Strike? 🤔| Saregama Carvaan 🎶 PC-Doc's Review,2024-01-10T11:00:42Z,1214364,83284,3839
GrYiM94gmd0,"Instagram Influecer Scam (2024) - Ft. Amala Shaji, Ishwarya Menon, Sham__6, Amrutha Shaji",2024-01-07T06:00:08Z,1749415,117272,4392
5sKyxUYRTQo,Three Coding உருட்டு Burst! - ”தமிழ்-Medium” To Programmer | EdTech CEO PC Build,2024-01-06T13:06:51Z,442597,27205,1000
UBAxGNRtR_o,"ராசிபலன் 2024 🔥| Apple Vision Pro, New Ai, PC & Mobile Industry, Gaming Dead? - ஒளிமயமான எதிர்காலம்",2024-01-05T13:32:34Z,332843,28695,1334
bC7NZ4Kgsd4,GTA 5 On Mobile? 🤯 | How to get GTA V for FREE!!!😱 - AAA Games on Mobile 🤔,2024-01-03T11:00:21Z,947221,52496,1696
Ze8w8z8nzpA,உருட்டு Mobile - Assembly | WORK ஆகுமா ஆகாதா? #repair #fix #mobile #ikall #scam #a2d,2024-01-01T10:00:30Z,3008116,214444,501
QjRRNIik7bQ,MADAN GOWRI's Server - @madangowri  X A2D | Storage Server for Madan Gowri🔥,2023-12-31T06:00:01Z,819131,44466,1100
ikxz6QkBxXo,Laptop for GANESHA! 💻 - Lenovo Ideapad Slim 5i New Year Gift🤯🎁 | 2023 Best Student Laptop?🤔,2023-12-29T13:33:09Z,510231,30229,1317
sp8Q46EI_j8,Mobile Password Unlock செய்வது எப்படி? 🤯| Unlock Phone by Uruttu Device 📱 - Pc Doc Experiments,2023-12-27T12:59:58Z,560475,33994,1221
JYPsvwiqHs4,BlackMagic 6K Pro RIG Setup | வடக்கு நண்பரின் மர்ம Petti | Cinema Camera Setup - Coming Soon,2023-12-26T13:00:19Z,1347754,118841,266
kHm-hHPXSRg,Uruttu Movie (2023) - வெற்றி விழா Ft.@TamilTechOfficial  🎉 200th Day Success Meet - 1M Special,2023-12-24T07:15:09Z,957035,91844,4973
I8_H8od--rA,உனக்கு ஆகணும் டா 🥳 - Apple Banned in USA 🤯 | Apple Watches Banned,2023-12-23T13:00:24Z,584160,41657,1184
-xC1UDhiTx4,Apple-க்கு எதிராக வழக்கு போட்ட  @advocatevigneshmuthukumar  | Greenscreen Issue - Case Against Apple,2023-12-21T13:17:56Z,701891,47052,2470
bt2iXNm-fPw,Ai URUTTU - பொய் சொல்லி மாட்டிக்கொண்ட GOOGLE😅 | Gemini Ai FAKE 🤯 #gemini #chatgpt,2023-12-19T13:00:28Z,508069,36855,1508
lnZEnC4Xqi0,"Rs.30,000/- மதிப்புள்ள 10 Gigabit POE Switch | Madan Gowri Storage Server Setup - Coming Soon",2023-12-18T13:57:31Z,554122,55015,252
nWkEnNlV9x4,"வடக்கு நண்பர் Tv Repair - Just Rs.1,000/- 😲 | Samsung TV Repair - Motherboard Problem #tvrepair #tv",2023-12-17T05:59:54Z,482521,29303,1720
YLEg2PBLWVc,Madan Gowri Server Build | Which is Better Cloud or Physical Server? 🤔 - Coming Soon,2023-12-15T13:00:32Z,891223,79596,385
0P9VX7tGdUU,5 Lakh WATERCOOLED 🌊 PC Build - RTX 4090 PC Setup | Chinese Waterblock PC Custom Loop Setup,2023-12-14T11:01:19Z,352013,23398,799
nj77WSbnJ7Q,Repairing Water Damaged PC Monitor 😢| Fixing Dead Gaming Monitor 🛠 - Chennai Flood Problem 🌊,2023-12-13T13:39:39Z,2824008,221574,379
